剧情范围	术语类别 Category	术语 ZHCN	曾用名	术语定义 Definition	性別 Gender	图像 Image	术语来源 Source	EN	EN Comment	术语状态 Status	JA	JA Comment	术语状态 Status	ES	ES Comment	术语状态 Status	DE	DE Comment	术语状态 Status	FR	FR Comment	术语状态 Status	PTBR	PTBR Comment	术语状态 Status	RU	RU Comment	术语状态 Status	ID	ID Comment	术语状态 Status	KO	KO Comment	术语状态 Status	TH	TH Comment	术语状态 Status	ZHTW	
	Named NPC	亚瑟			He			Arthiel	希望避免玩家产生亚瑟王相关的联想⏎所以不用Arthur	Approved	アーシエル		Approved	Arthiel		New	Arthiel		New	Arthiel		New	Arthiel		New	Артиэль		New	Arthiel		New	아르티엘		Approved	อาร์เธียล		New	亞瑟	
	Named NPC	亚瑟王			He			King Arthiel	同理。⏎不用King Arthur	Approved				Rey Arthiel		New	König Arthiel		New	Roi Arthiel		New	Rei Arthiel		New	Король Артиэль		New	Raja Arthiel		New	아르티엘 왕		Approved	ราชาอาร์เธียล		New	亞瑟王	
	Named NPC	圣安德鲁			He			King Aindreas	同理。⏎不用Saint Andrew	Approved	アンドリアス		Approved	Rey Aindreas		New	König Aindreas		New	Roi Andréas		New	Rei Aindreas		New	Король Айндреас		New	Raja Aindreas		New	아인드레아스 왕	即使是跟上了英文发音，但这个发音不符合韩语一般表示的形式。建议改为안드레아스 왕之类的。	Denied	ราชาไอนเดรียส		New	聖安德魯	
	Named NPC	汉默			He			Hummo		Approved	フーモ		Approved	Hummo		New	Hummo		New	Hanno		New	Hummo		New	Хуммо		New	Hummo		New	허모	发音听起来有点怪。不适合为人名	Denied	ฮัมโม		New	漢默	
	Named NPC	萌萌		Nurse	She			Momo		Approved	モモ		Approved	Momo		New	Momo		New	Mimi		New	Momo		New	Момо		New	Momo		New	모모		Approved	โมโม		New	萌萌	
	Named NPC	格里芬		魔法学院院长⏎Headmaster of the Magic Academy⏎院长⏎Headmaster	He	 		Griffin		Approved	グリフィン		Approved	Griffin		New	Griffin		New	Griffin		New	Griffin		New	Гриффин		New	Griffin		New	그리핀		Approved	กริฟฟิน		New	格里芬	
	Named NPC	格里芬院长		魔法学院院长⏎Headmaster of the Magic Academy	He	 		Headmaster Griffin		Approved				Director Griffin		New	Schuldirektor Griffin		New	Directeur Griffin		New	Diretor Griffin		New	Директор Гриффин		New	Kepala Sekolah Griffin		New	그리핀 원장		Approved	ครูใหญ่กริฟฟิน		New	格里芬院長	
	Named NPC	史黛西		炼金学新生⏎Alchemy First-Year	She	 		Stacy		Approved	ステイシー		Approved	Stacy		New	Stacy		New	Stacy		New	Stacy		New	Стейси		New	Stacy		New	스테이시		Approved	สเตซี่		New	史黛西	
	Named NPC	多里安		战斗学新生⏎Combat Studies First-Year	He	 		Dorian		Approved	ドリアン		New	Dorian		New	Dorian		New	Dorian		New	Dorian		New	Дориан		New	Dorian		New	도리안		Approved	โดเรียน		New	多里安	
	Named NPC	卢西奥			He	 		Lucio		Approved	ルシオ		New	Lucio		New	Lucio		New	Lucio		New	Lucio		New	Люцио		New	Lucio		New	루시오		Approved	ลูซิโอ		New	盧西奧	
	Named NPC	恨		鸡牛部队⏎The Bitter Squad	He			Resent	模拟原罪角色命名	Approved				Odio		New	Groll		New	Rancœur		New	Rancor		New	Ризент		New	Benci		New	리젠트		Approved	เฮท		New	恨	
	Named NPC	嫉妒		鸡牛部队⏎The Bitter Squad	He			Envy	模拟原罪角色命名	Approved	エンヴィー		Approved	Envidia		New	Neid		New	Convoitise		New	Inveja		New	Энви		New	Iri		New	엔비		Approved	เอนวี่		New	嫉妒	
	Named NPC	安妮		精灵道具店主⏎Owner of the Jini Item Shop	She			Annie		Approved	アニー		Approved	Annie		New	Annie		New	Annie		New	Annie		New	Энни		New	Annie		New	애니		Approved	แอนนี่		New	安妮	
	Named NPC	万事通			He			Mr. Knowitall		Approved	万事屋		Approved	Señor Sabelotodo		New	Herr Besserwisser		New	M. Je-sais-tout		New	Sr. Sabetudo		New	Всезнайка		New	Tn. Serbatahu		New	만물박사		Approved	มิสเตอร์โนว์ออล		New	萬事通	
	Named NPC	兹亚		萌萌的助手⏎Momo's assistant	He			Ziah		Approved	ザイア		Approved	Ziah		New	Ziah		New	Zé		New	Ziah		New	Зиах		New	Ziah		New	지아		Approved	เซียห์		New	茲亞	
	Named NPC	盖茨比			He			Gatsby		Approved	ギャツビー		Approved	Gatsby		New	Gatsby		New	Gatsby		New	Gatsby		New	Гэтсби		New	Gatsby		New	개츠비		Approved	แกสบี้		New	蓋茨比	
	Named NPC	布瑞克		布瑞吉的弟弟⏎Jon's younger brother	He			Don		Approved	ドン		New	Don		New	Don		New	Don		New	Don		New	Дон		New	Don		New	돈		Approved	ดอน		New	布瑞克	
	Named NPC	布瑞吉		布瑞克的哥哥⏎Don's older brother	He			Jon		Approved				Jon		New	Jon		New	Jon		New	Jon		New	Джон		New	Jon		New	존		Approved	จอน		New	布瑞吉	
	Named NPC	莫里森			He			Morrison		Approved	モリソン		Approved	Morrison		New	Morrison		New	Morrison		New	Morrison		New	Моррисон		New	Morrison		New	모리슨		Approved	มอร์ริสัน		New	莫里森	
	Named NPC	敏密			She			Millie		Approved				Millie		New	Millie		New	Millie		New	Millie		New	Милли		New	Millie		New	밀리		Approved	มิลลี่		New	敏密	
	Named NPC	阿斯加朵			She			Astrid		Approved				Astrid		New	Astrid		New	Astrid		New	Astrid		New	Астрид		New	Astrid		New	아스트리드		Approved	แอสทริด		New	阿斯加朵	
	Named NPC	小沃			He			Wade		Approved				Wade		New	Wade		New	Wade		New	Wade		New	Уэйд		New	Wade		New	웨이드		Approved	เวด		New	小沃	
	Named NPC	格兰特			He			Grant	中性名，男女均可用，确定欧美男女都有人叫这个名，貌似格兰特是女生而非标注的男生 ⏎我查了一下，Grant确实还是男性偏多啊……就Grant吧。不喜欢就用Greg	Approved				Grant		New	Grant		New	Grant		New	Grant		New	Грант		New	Grant		New	그랜트		Approved	แกรนต์		New	格蘭特	
	Named NPC	迪兰		资深教授⏎Senior Professor	He	 		Dillan		Approved	ディラン		Approved	Dillan		New	Dillan		New	Dylan		New	Dillan		New	Дилан		New	Dillan		New	딜런		Approved	ดิลแลน		New	迪蘭	
	Named NPC	麦斯威尔		王国使臣⏎Royal Envoy	He	 		Maswell		Approved	マスウェル		Approved	Maswell		New	Maswell		New	Maxwell		New	Maswell		New	Масвел		New	Maswell		New	매스웰		Approved	แมสเวลล์		New	麥斯威爾	
	Named NPC	杰瑞西		学校老师⏎Academy Professor⏎教导主任⏎Dean of Students	She	 		Jercie		Approved				Jercie		New	Jercie		New	Jenny		New	Jercie		New	Джерси		New	Jercie		New	저시	发音听起来有点怪。不适合为人名	Denied	เจอร์ซี		New	傑瑞西	
	Named NPC	芬利		值班学生⏎Student Assistant	She	 		Finley		Approved				Finley		New	Finley		New	Finley		New	Finley		New	Финли		New	Finley		New	핀리		Approved	ฟินลีย์		New	芬利	
	Named NPC	奇古尔			He	 	任务导出对话(本地化专用)-batch20260421_B1	Kellan		New																												奇古爾	
	Named NPC	赛奇		怪谈社成员⏎Eerie Club Member	He	 	任务导出对话(本地化专用)-batch20260421_B1	Seth		New																												賽奇	
	Named NPC	斯凯勒		怪谈社成员⏎Eerie Club Member	She	 		Skyler		Approved	スカイラー		Approved	Skyler		New	Skyler		New	Skyler		New	Skyler		New	Скайлер		New	Skyler		New	스카일러		Approved	สกายเลอร์		New	斯凱勒	
	Named NPC	沃尔克		学院导师	He	 		Walker		Approved	ウォーカー		Approved	Walker		New	Walker		New	Walker		New	Walker		New	Уокер		New	Walker		New	워커		Approved	วอล์กเกอร์		New	沃爾克	
	Named NPC	兰斯洛		骑士团长。一个骑士精神贯彻到极限的男人。⏎负责骑士团一切重大决定的决策以及具体的方向指定。⏎Knight Captain. A man who lives by the knight's code to the fullest.⏎    He's in charge of all major decisions and strategic direction for the knights.	He			Sir Lance	希望避免玩家产生亚瑟王相关的联想	Approved	ランス		Approved	Señor Lance		New	Sir Lance		New	Capitaine Lance		New	Sir Lance		New	Сэр Ланс		New	Sir Lance		New	랜스 경		Approved	เซอร์แลนซ์		New	蘭斯洛	
	Named NPC	罗宾			He			Robyn	建议：Robin⏎人名常用单个b的版本	Approved	ロビン		Approved	Robyn		New	Robyn		New	Robin		New	Robyn		New	Робин		New	Robyn		New	로빈		Approved	โรบิน		New	羅賓	
	Named NPC	斯诺克		不要叫Snoke	She			Sennoc		Approved	セノック		Approved	Sennoc		New	Sennoc		New	Sandrine		New	Sennoc		New	Сеннок		New	Sennoc		New	세녹		Approved	เซนน็อค		New	斯諾克	
	Named NPC	桑尼			He			Sonny		Approved				Sonny		New	Sonny		New	Sonny		New	Sonny		New	Сонни		New	Sonny		New	소니		Approved	ซอนนี่		New	桑尼	
	Named NPC	弗雷什			He			Felix		Approved				Felix		New	Felix		New	Félix		New	Felix		New	Феликс		New	Felix		New	펠릭스		Approved	เฟลิกซ์		New	弗雷什	
	Named NPC	酷奇			He			Cody		Approved				Cody		New	Cody		New	Cody		New	Cody		New	Коди		New	Cody		New	코디		Approved	โคดี้		New	酷奇	
	Named NPC	彼得			He			Petyr		Approved	ピーター		Approved	Petyr		New	Petyr		New	Petyr		New	Petyr		New	Петир		New	Petyr		New	페티르		Approved	ปีเตอร์		New	彼得	
	Named NPC	沃尔特		炼金学助教⏎Alchemy Teaching Assistant	He	 		Walter		Approved	ウォルター		Approved	Walter		New	Walter		New	Walter		New	Walter		New	Уолтер		New	Walter		New	월터		Approved	วอลเตอร์		New	沃爾特	
	Named NPC	珀因			She			Perrin		Approved				Perrin		New	Perrin		New	Perrine		New	Perrin		New	Перрин		New	Perrin		New	페린		Approved	เพอร์ริน		New	珀因	
	Named NPC	罗林		王国居民，年轻男17，是个宽容的尊重精灵自主性的好人	He			Rowan		Approved				Rowan		New	Rowan		New	Rowan		New	Rowan		New	Рован		New	Rowan		New	로완		Approved	โรวัน		New	羅林	
	Named NPC	皮卡			She			Piko		Approved	ピコ		Approved	Piko		New	Piko		New	Becky		New	Piko		New	Пико		New	Piko		New	피코		Approved	ปิโก		New	皮卡	
	Named NPC	费得		高年级学长⏎Upperclass Senior	He	 		Fedor		Approved	フェドル		Approved	Fedor		New	Fedor		New	Féodor		New	Fedor		New	Федор		New	Fedor		New	페도르		Approved	เฟดอร์		New	費得	
	Named NPC	红波			He	 		Redd		Approved	レッド	参照颜色和术语表英语	Approved	Redd		New	Redd		New	Redd		New	Vermilton		New	Ред		New	Redd		New	레드		Approved	เรด		New	紅波	
	Named NPC	绿波			He	 		Greene		Approved	グリーネ	参照颜色和术语表英语	Approved	Greene		New	Greene		New	Greene		New	Verdênis		New	Грин		New	Greene		New	그린		Approved	กรีน		New	綠波	
	Named NPC	卡普		风纪委会长⏎President of Discipline Committee	He	 		Kap		Approved	カープ		Approved	Kap		New	Kap		New	Kap		New	Kap		New	Кап		New	Kap		New	캅		Approved	แคป		New	卡普	
	Named NPC	卡门			He	 																																	
	Named NPC	莎莉		小助理⏎Little Assistant	She	 		Sally		Approved	サリー		New	Sally		New	Sally		New	Sally		New	Sally		New	Салли		New	Sally		New	샐리		Approved	แซลลี่		New	莎莉	
	Named NPC	麦瑞克			He			Merrick		Approved				Merrick		New	Merrick		New	Merrick		New	Merrick		New	Меррик		New	Merrick		New	메릭		Approved	เมอร์ริก		New	麥瑞克	
	Named NPC	齐格弗里德		男的⏎Male	He			Siegfried		Approved				Siegfried		New	Siegfried		New	Siegfried		New	Siegfried		New	Зигфрид		New	Siegfried		New	지크프리트		Approved	ซิกฟรีด		New	齊格弗里德	
	Named NPC	博得		男，商业街材料屋⏎Male. Runs the material shop on Commercial Street.	He			Bode		Approved	ボード		Approved	Bode		New	Bode		New	Bode		New	Bode		New	Боуд		New	Bode		New	보드		Approved	โบด		New	博得	
	Named NPC	詹姆斯			He			James		Approved	ジェームズ		New	James		New	James		New	James		New	James		New	Джеймс		New	James		New	제임스		Approved	เจมส์		New	詹姆斯	
	Named NPC	克洛伊			She			Chloe		Approved	クロエ		New	Chloe		New	Chloe		New	Chloé		New	Chloe		New	Хлоя		New	Chloe		New	클로이		Approved	โคลอี้		New	克洛伊	
	Named NPC	罗莎			She			Rosa		Approved	ローザ		Approved	Rosa		New	Rosa		New	Rosa		New	Rosa		New	Роза		New	Rosa		New	로사		Approved	โรซา		New	羅莎	
	Named NPC	皮特			He			Pete		Approved				Pete		New	Pete		New	Pete		New	Pete		New	Пит		New	Pete		New	피트		Approved	พีต		New	皮特	
	Named NPC	埃尔加			She			Elga		Approved	エルガ		Approved	Elga		New	Elga		New	Helga		New	Elga		New	Эльга		New	Elga		New	엘가		Approved	เอลกา		New	埃爾加	
	Named NPC	考斯特			He			Carter		Approved	カーター		Approved	Carter		New	Carter		New	Carter		New	Carter		New	Картер		New	Carter		New	카터		Approved	คาร์เตอร์		New	考斯特	
	Named NPC	托马斯			He			Thomas		Approved	トーマス		Approved	Thomas		New	Thomas		New	Thomas		New	Thomas		New	Томас		New	Thomas		New	토마스		Approved	โธมัส		New	托馬斯	
	Named NPC	霍曼尼			He			Hollman		Approved	ハーマン		Approved	Hollman		New	Hollman		New	Hollman		New	Hollman		New	Холман		New	Hollman		New	홀먼		Approved	ฮอลแมน		New	霍曼尼	
	Named NPC	席勒			He			Schiller		Approved				Schiller		New	Schiller		New	Schiller		New	Schiller		New	Шиллер		New	Schiller		New	실러		Approved	ชิลเลอร์		New	席勒	
	Named NPC	波比			He			Bodie		New																									บ็อบบี้		New	波比	
	Named NPC	欧德斯			He			Odes	故意与奥蒂斯做区别	Approved				Odes		New	Odes		New	Eudes		New	Odes		New	Оудс		New	Odes		New	오데스		Approved	โอเดส		New	歐德斯	
	Named NPC	汤姆·德雷克福德			He			Tom Drakeford		Approved				Tom Drakeford		New	Tom Drakeford		New	Tom Drakeford		New	Tom Drakeford		New	Том Дрейкфорд		New	Tom Drakeford		New	톰·드레이크포드	一般在韩语，人名之间不加‘点’。	Denied	ทอม เดรกฟอร์ด		New	湯姆·德雷克福德	
	Named NPC	多萝西			She			Dorothy		Approved	ドロシー		Approved	Dorothy		New	Dorothy		New	Dorothée		New	Dorothy		New	Дороти		New	Dorothy		New	도로시		Approved	โดโรธี		New	多蘿西	
	Named NPC	布鲁克			He			Brooke		Approved	ブルーク		Approved	Brooke		New	Brooke		New	Brock		New	Brooke		New	Брук		New	Brooke		New	브룩		Approved	บรูค		New	布魯克	
	Named NPC	达芙妮			She			Daphne		Approved				Daphne		New	Daphne		New	Daphné		New	Daphne		New	Дафна		New	Daphne		New	다프네		Approved	แดฟนี		New	達芙妮	
	Named NPC	缘医师			She			Dr. Yvonne		Approved				Dr. Yvonne		New	Dr. Yvonne		New	Dr Yvonne		New	Dra. Yvonne		New	Доктор Ивонн		New	Dr. Yvonne		New	닥터 이본		Approved	ดร.อีวอนน์		New	緣醫師	
	Named NPC	劳拉 贝克			She			Laura Baker		Approved				Laura Baker		New	Laura Baker		New	Laura Baker		New	Laura Baker		New	Лаура Бейкер		New	Laura Baker		New	로라·베이커	一般在韩语，人名之间不加‘点’。	Denied	ลอร่า เบเกอร์		New	勞拉·貝克	
	Named NPC	阿兰 艾克曼			He		CE拾遗译文优化EN	Aiden Ackles		Approved																												阿蘭·艾克曼	
	Named NPC	里夫 维德			He			Reeve Wade		Approved				Reeve Wade		New	Reeve Wade		New	Reeve Wade		New	Reeve Wade		New	Рив Уэйд		New	Reeve Wade		New	리브·웨이드	一般在韩语，人名之间不加‘点’。	Denied	รีฟ เวด		New	里夫·維德	
	Named NPC	卡梅伦 贝利			He			Cameron Bailey		Approved				Cameron Bailey		New	Cameron Bailey		New	Cameron Bailey		New	Cameron Bailey		New	Кэмерон Бейли		New	Cameron Bailey		New	캐머런·베일리	一般在韩语，人名之间不加‘点’。	Denied	คาเมรอน เบลีย์		New	卡梅倫·貝利	
	Named NPC	贝拉 格雷			She			Bella Gray		Approved				Bella Gray		New	Bella Gray		New	Bella Gray		New	Bella Gray		New	Белла Грей		New	Bella Gray		New	벨라·그레이	一般在韩语，人名之间不加‘点’。	Denied	เบลล่า เกรย์		New	貝拉·格雷	
	Named NPC	约瑟夫 佩里			He			Joseph Perry		Approved				Joseph Perry		New	Joseph Perry		New	Joseph Perry		New	Joseph Perry		New	Джозеф Перри		New	Joseph Perry		New	조셉·페리	一般在韩语，人名之间不加‘点’。	Denied	โจเซฟ เพอร์รี		New	約瑟夫·佩里	
	Named NPC	弗雷迪 科克斯			He			Freddy Cox		Approved				Freddy Cox		New	Freddy Cox		New	Freddy Cox		New	Freddy Cox		New	Фредди Кокс		New	Freddy Cox		New	프레디·콕스	一般在韩语，人名之间不加‘点’。	Denied	เฟรดดี้ ค็อกซ์		New	弗雷迪·科克斯	
	Named NPC	汤姆 弗雷德里克			He			Tom Frederick		Approved				Tom Frederick		New	Tom Frederick		New	Tom Frederick		New	Tom Frederick		New	Том Фредерик		New	Tom Frederick		New	톰·프레더릭	一般在韩语，人名之间不加‘点’。	Denied	ทอม เฟรเดอริก		New	湯姆·弗雷德里克	
	Named NPC	班尼斯特			He			Bannister		Approved	バニスター		Approved	Bannister		New	Bannister		New	Bannister		New	Bannister		New	Баннистер		New	Bannister		New	배니스터		Approved	แบนนิสเตอร์		New	班尼斯特	
	Named NPC	埃克斯			He			Ajax		Approved	エイジャックス		Approved	Ajax		New	Ajax		New	Ajax		New	Ajax		New	Аякс		New	Ajax		New	에이잭스		Approved	เอแจ็กซ์		New	埃克斯	
	Named NPC	比利弗			She			Belva	源自拉丁语，意为美丽风景	Approved	ベルバ		Approved	Belva		New	Belva		New	Éva		New	Belva		New	Бельва		New	Belva		New	벨바		Approved	เบลวา		New	比利弗	
	Named NPC	安黛因			She			Aveline	源自法语，意为渴望	Approved	アヴェリン		New	Aveline		New	Aveline		New	Éveline		New	Aveline		New	Эвелин		New	Aveline		New	에블린		Approved	เอเวอลีน		New	安黛因	
	Named NPC	卢米亚			She			Lumina	源自拉丁语，意为光明	Approved				Lumina		New	Lumina		New	Lumina		New	Lumina		New	Люмина		New	Lumina		New	루미나		Approved	ลูมินา		New	盧米亞	
	Named NPC	皮可		一只小黑猫⏎A Felune				Pico		Approved				Pico		New	Pico		New	Pico		New	Pico		New	Пико		New	Pico		New	피코		Approved	พิโก		New	皮可	
	Named NPC	米卡		一只小黑猫⏎A Felune				Mica		Approved				Mica		New	Mica		New	Mica		New	Mica		New	Мика		New	Mica		New	미카		Approved	ไมกา		New	米卡	
	Named NPC	尤姬		一只小黑猫⏎A Felune				Yuna		Approved	ユナ		New	Yuna		New	Yuna		New	Yuna		New	Yuna		New	Юна		New	Yuna		New	유나		Approved	ยูนา		New	尤姬	
	Named NPC	鲁比		一只小黑猫⏎A Felune				Ruby		Approved				Ruby		New	Ruby		New	Ruby		New	Ruby		New	Руби		New	Ruby		New	루비		Approved	รูบี้		New	魯比	
	Named NPC	拉尔夫			He			Ralph		Approved	ラルフ		Approved	Ralph		New	Ralph		New	Ralph		New	Ralph		New	Ральф		New	Ralph		New	랄프		Approved	ราล์ฟ		New	拉爾夫	
	Named NPC	亨克尔			He			Henkel	德国姓氏	Approved	ヘンケル		New	Henkel		New	Henkel		New	Henkel		New	Henkel		New	Хенкель		New	Henkel		New	헹켈		Approved	เฮงเคล		New	亨克爾	
	Named NPC	宗雅		是个妈妈⏎A mother	She			Zoe		Approved				Zoe		New	Zoe		New	Zoé		New	Zoe		New	Зои		New	Zoe		New	조이		Approved	โซอี้		New	宗雅	
	Named NPC	小宝		宗雅的小孩⏎Zoe's child	He			Bo		Approved				Bo		New	Bo		New	Noé		New	Bo		New	Бо		New	Bo		New	보		Approved	โบ		New	小寶	
	Named NPC	莱昂			He			Leon		Approved	レオン		New	Leon		New	Leon		New	Léon		New	Leon		New	Леон		New	Leon		New	레온		Approved	ลีออน		New	萊昂	
	Named NPC	福莱		minigame npc⏎minigame npc	He			Flynn		Approved				Flynn		New	Flynn		New	Flynn		New	Flynn		New	Флинн		New	Flynn		New	플린		Approved	ฟลินน์		New	福萊	
	Named NPC	本杰明			He			Benjamin		Approved				Benjamin		New	Benjamin		New	Benjamin		New	Benjamin		New	Бенджамин		New	Benjamin		New	벤자민		Approved	เบนจามิน		New	班傑明	
	Named NPC	蒂娜			She			Tina		Approved				Tina		New	Tina		New	Tina		New	Tina		New	Тина		New	Tina		New	티나		Approved	ทีน่า		New	蒂娜	
	Named NPC	莎曼塔			She			Samantha		Approved	サマンサ		New	Samantha		New	Samantha		New	Samantha		New	Samantha		New	Саманта		New	Samantha		New	사만다		Approved	ซาแมนธา		New	莎曼塔	
	Named NPC	莫利亚克			He			Moriac		Approved	モリアック		New	Moriac		New	Moriac		New	Dupond		New	Moriac		New	Мориак		New	Moriac		New	모리악	是‘莫里亚克’的typo	Denied	โมริแอค		New	莫利亞克	
	Named NPC	亚历山大			He			Alexander		Approved				Alexander		New	Alexander		New	Alexander		New	Alexander		New	Александр		New	Alexander		New	알렉산더		Approved	อเล็กซานเดอร์		New	亞歷山大	
	Named NPC	费舍尔			He			Fisher		Approved				Fisher		New	Fisher		New	Fisher		New	Pescador		New	Фишер		New	Fisher		New	피셔		Approved	ฟิชเชอร์		New	費雪	
	Named NPC	布里姬塔			She			Bridget		Approved				Bridget		New	Bridget		New	Bridget		New	Bridget		New	Бриджит		New	Bridget		New	브리짓		Approved	บริดเจ็ต		New	布里姬塔	
	Named NPC	普利玛			She			Prima		Approved				Prima		New	Prima		New	Prima		New	Prima		New	Прима		New	Prima		New	프리마		Approved	พรีมา		New	普利瑪	
